company_id,name,ticker,exchange,country,category_node_id,role,rank_within_node,market_segment,pure_play_score,why_top_3,bottleneck_exposure,key_risks,time_horizon,confidence,source_id
COMP_GEV_GRID,GE Vernova,GEV,NYSE,US,L1_GRID_EQUIPMENT,Gas turbines plus grid equipment,1,Gas turbines; transformers; grid software,high,Multi-year backlog at gas turbines and grid.,severe,Backlog conversion risk; supply chain.,short,high,SRC_GEV_10K
COMP_ETN_GRID,Eaton,ETN,NYSE,US,L1_GRID_EQUIPMENT,Electrical equipment,2,Switchgear; medium-voltage transformers,medium,Strong utility and DC exposure.,high,Cyclicality.,short,high,SRC_ETN_10K
COMP_HUBB_GRID,Hubbell,HUBB,NYSE,US,L1_GRID_EQUIPMENT,Utility solutions and electrical,3,Utility solutions; meters; medium-power transformers,high,Pure-play utility solutions; transformer exposure.,high,Same as above.,short,high,SRC_HUBB_10K
COMP_POWL_GRID,Powell Industries,POWL,NASDAQ,US,L2_HV_SWITCHGEAR,Switchgear and E-houses,1,HV / MV switchgear and E-houses,high,Pure-play switchgear with record backlog.,high,Customer concentration; oil and gas exposure.,short,high,SRC_POWL_10K
COMP_NVT_GRID,nVent Electric,NVT,NYSE,US,L1_DC_POWER_INTERNAL,Electrical enclosures and connectivity,3,Enclosures and liquid cooling for DC,medium,Liquid cooling and enclosure exposure.,medium,Smaller scale.,medium,medium,SRC_VRT_10K
COMP_ATKR_GRID,Atkore,ATKR,NYSE,US,L1_T_AND_D,Electrical conduit and cable management,N/A,Conduit; cable management,medium,Volume exposure to electrical builds.,medium,Cyclicality.,medium,medium,SRC_ETN_10K
COMP_CMI_GEN,Cummins,CMI,NYSE,US,L1_GENSETS,Diesel and gas gensets,1,Power systems segment,medium,Largest U.S.-listed standby generation supplier.,medium,Lead-time normalization risk.,short,high,SRC_GEV_10K
COMP_CAT_GEN,Caterpillar,CAT,NYSE,US,L1_GENSETS,Diesel gensets and gas reciprocating engines,2,Energy & Transportation,low,Wide footprint in DC backup.,medium,Construction-cycle exposure.,short,high,SRC_GEV_10K
COMP_GNRC_GEN,Generac,GNRC,NYSE,US,L1_GENSETS,Industrial / commercial gensets,3,C&I and residential generators,medium,Smaller commercial DC backup share than CMI.,low,Residential mix dilution.,medium,medium,SRC_GEV_10K
COMP_VRT_COOL,Vertiv,VRT,NYSE,US,L2_LIQUID_COOLING,Liquid cooling systems,1,CDUs and rear-door HX,high,One of few pure-play liquid-cooling vendors at scale.,high,Competition from private CoolIT and foreign Asetek.,short,high,SRC_VRT_10K
COMP_TT_COOL,Trane Technologies,TT,NYSE,Ireland-domiciled,L1_COOLING,HVAC and chillers,1,Industrial chillers and CRAH,medium,Major DC chiller supplier.,medium,Cyclicality.,medium,high,SRC_VRT_10K
COMP_JCI_COOL,Johnson Controls,JCI,NYSE,Ireland-domiciled,L1_COOLING,HVAC and DC cooling,2,DC cooling and controls,medium,Strong DC building automation.,medium,Macro cyclicality.,medium,high,SRC_VRT_10K
COMP_LII_COOL,Lennox International,LII,NYSE,US,L1_COOLING,HVAC,3,Commercial HVAC,low,Smaller DC exposure than TT or JCI.,low,Residential mix.,medium,medium,SRC_VRT_10K
COMP_MOD_COOL,Modine Manufacturing,MOD,NYSE,US,L2_LIQUID_COOLING,Liquid cooling and coils,2,DC liquid coils and CDUs,high,Pure-play exposure to DC liquid cooling growth.,high,Smaller scale.,short,high,SRC_VRT_10K
COMP_XYL_WATER,Xylem,XYL,NYSE,US,L1_WATER,Water systems and instrumentation,1,Pumps; treatment; analytics,medium,Largest U.S.-listed pure-play water systems.,medium,Cyclicality.,medium,high,SRC_VRT_10K
COMP_VLTO_WATER,Veralto,VLTO,NYSE,US,L1_WATER,Water analytics and quality,2,Water-quality instruments,medium,Spinoff with strong water-analytics franchise.,medium,Smaller scale than XYL.,medium,medium,SRC_VRT_10K
COMP_ECL_WATER,Ecolab,ECL,NYSE,US,L1_WATER,Industrial water and hygiene,3,Industrial water treatment,low,DC water-treatment exposure indirect.,low,Diversified mix.,medium,medium,SRC_VRT_10K
COMP_AWK_WATER,American Water Works,AWK,NYSE,US,L1_WATER,Regulated water utility,N/A,Regulated water utility,low,Indirect to DC growth.,low,Regulated returns.,long,medium,SRC_VRT_10K
COMP_CEG_NUC,Constellation Energy,CEG,NYSE,US,L2_LWR,LWR fleet operator,1,Largest U.S. nuclear fleet,high,Largest U.S. nuclear-fleet operator with hyperscaler PPA discussions.,medium,Regulatory / safety event risk.,short,high,SRC_CEG_10K
COMP_VST_NUC,Vistra,VST,NYSE,US,L2_LWR,IPP with nuclear,2,IPP with nuclear and gas,medium,Comanche Peak nuclear and gas portfolio with growing DC exposure.,medium,Power-price exposure.,short,high,SRC_VST_10K
COMP_TLN_NUC,Talen Energy,TLN,NASDAQ,US,L2_LWR,Susquehanna nuclear plus AWS,3,Susquehanna nuclear,high,AWS Cumulus PPA precedent for hyperscaler nuclear deals.,high,Regulatory ruling on co-location precedent.,short,high,SRC_TLN_10K
COMP_BWXT_NUC,BWX Technologies,BWXT,NYSE,US,L2_SMR,Naval and SMR fuel and components,1,SMR / naval reactor components and fuel,high,Established SMR / naval reactor manufacturer.,medium,Long lead times to SMR commercialization.,medium,high,SRC_BWXT_10K
COMP_OKLO_NUC,Oklo,OKLO,NYSE,US,L2_SMR,Microreactor developer,2,Aurora microreactor,high,Pre-revenue microreactor developer with hyperscaler MOUs.,medium,Pre-revenue execution risk.,long,low,SRC_OKLO_10K
COMP_SMR_NUC,NuScale Power,SMR,NYSE,US,L2_SMR,SMR developer,3,NuScale Power Module,high,Pre-revenue SMR with first U.S. NRC design certification.,medium,Project cancellations have hit pipeline.,long,low,SRC_SMR_10K
COMP_LEU_FUEL,Centrus Energy,LEU,NYSE_AMERICAN,US,L4_CONVERSION_ENRICHMENT,U.S. uranium enrichment,1,LEU / HALEU enrichment,high,Only U.S.-listed pure-play enrichment with active HALEU program.,severe,Subsidy / contract dependence.,medium,high,SRC_LEU_10K
COMP_CCJ_FUEL,Cameco,CCJ,NYSE,Canada,L4_URANIUM_MINING,Uranium mining + fuel services,1,U mining; conversion; fabrication via Westinghouse,high,Largest North American uranium and fuel-services franchise (ADR).,high,Geopolitical / production risk.,medium,high,SRC_CCJ_AR
COMP_UEC_FUEL,Uranium Energy Corp,UEC,NYSE_AMERICAN,US,L4_URANIUM_MINING,U.S. ISR uranium production,2,U.S. ISR uranium,high,Pure-play U.S. ISR producer.,medium,Permitting; commodity prices.,medium,high,SRC_UEC_10K
COMP_UUUU_FUEL,Energy Fuels,UUUU,NYSE_AMERICAN,US,L4_URANIUM_MINING,Uranium plus rare earths,3,Uranium and emerging REE,medium,Diversified uranium and rare-earth processing.,medium,Capital intensity.,medium,high,SRC_UUUU_10K
COMP_DNN_FUEL,Denison Mines,DNN,NYSE_AMERICAN,Canada,L4_URANIUM_MINING,Uranium developer,N/A,Wheeler River project,medium,Canadian ISR development.,medium,Pre-production.,long,medium,SRC_UEC_10K
COMP_GEV_GAS,GE Vernova,GEV,NYSE,US,L3_GAS_TURBINE,Industrial gas turbines,1,F / H / HA-class turbines,high,U.S.-listed leader in industrial gas turbines.,severe,Backlog conversion; service mix.,short,high,SRC_GEV_10K
COMP_NEE_REN,NextEra Energy,NEE,NYSE,US,L1_RENEWABLES,Largest renewables developer,1,Wind / solar / storage / regulated utility,medium,Largest U.S. renewables developer feeding hyperscaler PPAs.,medium,Interest-rate sensitivity.,medium,high,SRC_VRT_10K
COMP_FSLR_REN,First Solar,FSLR,NASDAQ,US,L1_RENEWABLES,Solar module manufacturer,2,CdTe modules,high,Only U.S. domestic solar module manufacturer at scale.,medium,Subsidy / IRA risk.,medium,high,SRC_VRT_10K
COMP_AES_REN,AES Corporation,AES,NYSE,US,L1_RENEWABLES,IPP with renewables tilt,3,Renewables IPP and storage,medium,Material renewables development pipeline.,medium,Leverage; emerging-markets exposure.,medium,medium,SRC_VRT_10K
COMP_TSLA_ESS,Tesla,TSLA,NASDAQ,US,L1_STORAGE_ESS,Megapack BESS,1,Megapack BESS,low,Largest U.S.-listed BESS deployments via Megapack.,medium,Auto cyclicality dilutes pure-play exposure.,medium,medium,SRC_VRT_10K
COMP_FLNC_ESS,Fluence Energy,FLNC,NASDAQ,US,L1_STORAGE_ESS,Grid-scale BESS,2,BESS systems integrator,high,Pure-play BESS integrator.,medium,Project execution; pricing.,medium,medium,SRC_VRT_10K
COMP_STEM_ESS,Stem Inc.,STEM,NYSE,US,L1_STORAGE_ESS,BESS software and services,3,Athena BESS optimization,high,BESS software exposure.,low,Subscale; capital constraints.,medium,low,SRC_VRT_10K
COMP_ASML_LITHO,ASML Holding,ASML,NASDAQ,Netherlands,L1_LITHO,EUV and DUV systems,1,EUV monopoly,high,Sole supplier of EUV exposure systems.,severe,China / export-control exposure; cyclicality.,medium,high,SRC_ASML_AR
COMP_AMAT_DEP,Applied Materials,AMAT,NASDAQ,US,L1_DEPOSITION,Deposition equipment,1,CVD / PVD / ALD; metallization,high,Largest U.S.-listed front-end equipment vendor.,severe,China revenue exposure; cyclicality.,short,high,SRC_AMAT_10K
COMP_LRCX_ETCH,Lam Research,LRCX,NASDAQ,US,L1_ETCH,Etch and deposition,1,Etch leader; clean; deposition,high,Etch market leader plus clean.,severe,Cyclicality; export controls.,short,high,SRC_LRCX_10K
COMP_AMAT_ETCH,Applied Materials,AMAT,NASDAQ,US,L1_ETCH,Etch equipment,2,Etch (selectra et al.),high,Number-two etch supplier.,severe,Same as above.,short,high,SRC_AMAT_10K
COMP_KLAC_METRO,KLA Corporation,KLAC,NASDAQ,US,L1_METROLOGY,Process control and inspection,1,Optical and e-beam inspection,high,Dominant share in inspection at advanced nodes.,severe,Cyclicality; Chinese export controls.,short,high,SRC_KLAC_10K
COMP_ONTO_METRO,Onto Innovation,ONTO,NYSE,US,L1_METROLOGY,Optical metrology,2,Optical metrology and inspection,high,Pure-play metrology adjacent to KLA.,high,Cyclicality.,medium,high,SRC_ONTO_10K
COMP_NVMI_METRO,Nova Ltd,NVMI,NASDAQ,Israel,L1_METROLOGY,Metrology,3,OCD and X-ray metrology,high,Pure-play metrology with leading-edge growth.,high,Smaller scale.,medium,high,SRC_NVMI_20F
COMP_CAMT_METRO,Camtek,CAMT,NASDAQ,Israel,L1_METROLOGY,Metrology and packaging inspection,N/A,Advanced packaging inspection,high,Pure-play exposure to advanced packaging inspection.,high,Smaller scale.,medium,medium,SRC_NVMI_20F
COMP_LRCX_CLEAN,Lam Research,LRCX,NASDAQ,US,L1_WAFER_CLEAN,Wafer clean equipment,1,Single-wafer wet clean,high,Strong clean franchise.,medium,Same as etch exposure.,short,high,SRC_LRCX_10K
COMP_ACMR_CLEAN,ACM Research,ACMR,NASDAQ,US,L1_WAFER_CLEAN,Wafer clean equipment,2,SAPS / TEBO / ECP / front-end clean,high,U.S.-listed pure play with growing share.,high,China revenue concentration.,medium,medium,SRC_ACMR_10K
COMP_AMAT_IMPLANT,Applied Materials,AMAT,NASDAQ,US,L1_ION_IMPLANT,Ion implantation,1,Implant systems,medium,Number-one implant share.,medium,Cyclicality.,short,high,SRC_AMAT_10K
COMP_ACLS_IMPLANT,Axcelis Technologies,ACLS,NASDAQ,US,L1_ION_IMPLANT,Ion implantation,2,Power-device implant,high,Pure-play implant for SiC and other power devices.,medium,Customer concentration.,medium,high,SRC_ACLS_10K
COMP_AMAT_CMP,Applied Materials,AMAT,NASDAQ,US,L1_CMP,CMP equipment,1,CMP systems,medium,Largest U.S.-listed CMP equipment supplier.,medium,Same.,short,high,SRC_AMAT_10K
