company_id,name,country,public_private_state,listing_status,category_node_id,role,why_it_matters,why_not_investable_under_project_rules,bottleneck_exposure,key_risks,confidence,source_id
NIB_FOXCONN,Hon Hai (Foxconn),Taiwan,public,TWSE,L1_SERVERS,AI server ODM,Major AI server / iPhone ODM.,Listed only on TWSE (2317.TW); no U.S. ADR at investable tier.,high,Customer concentration.,high,SRC_DELL_10K
NIB_QUANTA_TWN,Quanta Computer,Taiwan,public,TWSE,L1_SERVERS,AI server ODM,Major AI server ODM.,Listed only on TWSE (2382.TW); no U.S. ADR at investable tier.,high,Customer concentration.,high,SRC_DELL_10K
NIB_WIWYNN,Wiwynn,Taiwan,public,TWSE,L1_SERVERS,AI server ODM,AI server ODM serving Microsoft and Meta.,Listed only on TWSE (6669.TW); no U.S. ADR at investable tier.,high,Customer concentration.,high,SRC_DELL_10K
NIB_INNOLIGHT,Innolight,China,public,Shenzhen,L2_TRANSCEIVERS,Optical transceiver leader,Largest 800G transceiver supplier globally,Listed only in Shenzhen (300308.SZ); no U.S. ADR at investable tier.,high,Geopolitics.,medium,SRC_COHR_10K
NIB_SIBELCO,Sibelco,Belgium,private,private,L1_QUARTZ,High-purity quartz from Spruce Pine NC,Co-operates Spruce Pine; near-monopoly on HPQ globally.,Private; family-controlled.,severe,Single-source geography.,high,SRC_USGS_MCS_2025
NIB_QUARTZ_CORP,The Quartz Corp,Norway,private,private,L1_QUARTZ,High-purity quartz,Co-operates Spruce Pine.,Private.,severe,Single-source geography.,high,SRC_USGS_MCS_2025
NIB_HEMLOCK,Hemlock Semiconductor,US,private,private,L1_SI_POLYSI,Polysilicon for semiconductor wafers,Major U.S. polysilicon producer.,Private (joint venture).,high,Energy-cost exposure.,medium,SRC_USGS_MCS_2025
NIB_CNNC,China National Nuclear Corporation,China,state-owned,SOE,L1_NUCLEAR,State nuclear operator,Major builder of nuclear capacity.,Chinese SOE; not investable.,high,Geopolitics.,medium,SRC_CCJ_AR
NIB_CNRE,China Northern Rare Earth,China,state-owned,Shanghai,L1_RARE_EARTHS,State rare-earth refiner,Largest single rare-earth refiner globally.,Listed only in Shanghai (600111.SS); restricted exposure.,severe,Geopolitics.,high,SRC_USGS_RARE_EARTHS
NIB_GLENCORE,Glencore plc,Switzerland,public,LSE,L1_COBALT,Cobalt and copper miner / trader,Top global cobalt and trader.,Listed only on LSE (GLEN.L); GLNCY OTC unsponsored ADR not investable.,high,Commodity-cycle and trading exposure.,high,SRC_USGS_MCS_2025
NIB_NORILSK,Norilsk Nickel,Russia,public/sanctioned,MOEX,L1_NICKEL,Nickel and palladium,Top global nickel producer.,Sanctioned context; OTC pink ADR not investable.,high,Sanctions.,high,SRC_USGS_MCS_2025
NIB_GANFENG,Ganfeng Lithium,China,public,Shenzhen / HKEX,L1_LITHIUM,Major lithium chemicals firm,Major lithium producer.,Listed only on HKEX / Shenzhen (1772.HK); no U.S. ADR at investable tier.,medium,Pricing cyclicality.,high,SRC_USGS_LITHIUM
NIB_ROSATOM,Rosatom,Russia,state-owned,SOE,L4_CONVERSION_ENRICHMENT,State uranium enrichment,Largest enrichment supplier globally.,Russian SOE; not investable; sanctioned.,severe,Sanctions.,high,SRC_LEU_10K
NIB_WESTINGHOUSE,Westinghouse Electric,US,private (Brookfield/Cameco JV),private,L4_FUEL_FABRICATION,LWR fuel fabrication and reactor services,Major LWR fuel supplier; subject of Brookfield / Cameco JV ownership.,Private after CCJ / BAM acquisition; CCJ provides indirect exposure.,high,Indirect exposure via CCJ.,high,SRC_CCJ_AR
NIB_AIR_LIQUIDE,Air Liquide,France,public,Euronext,L1_INDUSTRIAL_GAS,Industrial gases,Top-3 industrial gas firm globally.,Listed only on Euronext Paris (AI.PA); AIQUY OTC unsponsored ADR not investable.,high,Cyclicality.,high,SRC_LIN_10K
NIB_LARGAN,Largan Precision,Taiwan,public,TWSE,L4_EUV_OPTICS,Precision optics for cameras and imaging,Adjacent precision-optics player.,Listed only on TWSE (3008.TW); no U.S. ADR at investable tier.,medium,Smartphone cyclicality.,medium,SRC_ASML_AR
NIB_KIOXIA,Kioxia Holdings,Japan,public,TSE,L2_NAND,NAND memory,Major NAND supplier.,IPO completed on TSE in 2024 (285A.T); no U.S. ADR at investable tier.,medium,Cyclicality.,high,SRC_MU_10K
NIB_UMC,United Microelectronics,Taiwan,public,TWSE / OTC,L2_SPECIALTY_FOUNDRY,Specialty / mature foundry,Tier-2 foundry.,UMC is U.S.-listed as ADR (UMC) — note for cross-check; investable status borderline.,medium,Mature-node ASP pressure.,high,SRC_INTC_10K
NIB_ASE_GROUP,ASE Technology Holding,Taiwan,public,TWSE / NYSE ADR,L1_PACKAGING,OSAT,Largest OSAT globally.,ASE has U.S.-listed ADR (ASX) but historically OTC; investable status borderline; check listing tier before promoting.,severe,Same as packaging.,medium,SRC_AMKR_10K
NIB_DOOSAN_ENER,Doosan Enerbility,South Korea,public,KRX,L3_GAS_TURBINE,Gas turbines and nuclear forging,Major gas-turbine and nuclear-forging supplier.,Listed only on KRX; no U.S. ADR at investable tier.,severe,Cyclicality.,medium,SRC_GEV_10K
