question_id,related_node_id,question,why_it_matters,priority,suggested_research_path
OQ_HALEU_TIMELINE,L4_CONVERSION_ENRICHMENT,When can U.S. HALEU enrichment reach commercial quantities for advanced reactors?,SMR supply chains depend on fuel long before reactors are built,high,Review DOE HALEU awards; Centrus updates; BWXT and reactor-developer filings
OQ_GRAPHITE_EXPOSURE,L5_GRAPHITE,Are there U.S.-listed graphite suppliers with enough scale to matter for ESS and UPS battery supply chains?,Graphite is high-risk but investable purity is uncertain,medium,Review Nouveau Monde Graphite; Syrah; USGS graphite chapter; battery customer offtakes
OQ_NEON_RESILIENCE,L5_NEON,How resilient is semiconductor-grade neon supply after the 2022 Ukraine shock?,Neon is less discussed now but still relevant to excimer laser supply,medium,Use industrial gas filings; USGS/industry reports; Ukraine supplier status
OQ_ARGON_SUPPLY,L1_NOBLE_GASES,Should argon be modeled as a distinct L5 node separate from neon; krypton; and xenon?,Argon is a major fab gas and may deserve separate treatment,low,Review USGS and industrial gas supply disclosures; add L5_ARGON if material
OQ_PUBLIC_NEOCLOUDS,L1_NEOCLOUDS,Which neocloud names remain financially durable after CoreWeave's IPO and the GPU lease cycle?,Neoclouds are public now but balance-sheet and customer concentration risk are unusually high,medium,Review CoreWeave; Nebius; IREN filings; debt schedules; major customer contracts
OQ_PRIVATE_MODEL_IPO,L1_MODELS,Which private model labs have credible public paths rather than generic IPO speculation?,The watchlist should distinguish real public-path signals from speculation,medium,Track SEC filings; Reuters/Bloomberg/FT reports; corporate restructuring announcements
OQ_DATA_LICENSES,L1_DATA_LICENSING,Which data licensing and labeling suppliers have recurring public-path signals and material frontier-lab revenue?,Data layer is important but dominated by private companies with limited disclosure,medium,Review Scale AI; Surge AI; Appen; TELUS Digital; publisher licensing deals
OQ_LABOR_CONSTRAINT,L1_LABOR,Which specialized trades or technical labor categories are the binding constraint for data centers and fabs?,Labor is a real root dependency but difficult to map to public companies,medium,Use contractor filings; union data; CHIPS workforce reports; construction backlogs
OQ_EXPORT_CONTROLS,L1_POLICY,Which AI chip; lithography; and critical-mineral export controls materially alter company access to demand or supply?,Policy can rapidly change both bottleneck severity and investability,high,Track BIS rules; EU/Japan controls; China Ministry of Commerce export-control notices
OQ_ETF_OPTIONAL,L1_FINANCE,Should the repo add an optional ETF appendix without mixing ETFs into ranked company tables?,ETFs may be useful for personal research but violate the company-pick table rules,low,If added; create docs/etf_notes.md or a separate optional CSV with no rankings
